CustomerID,TransactionDate,StoreID,Sales
VASQY19428,20150207,I8  ,$990.76 
WAGNJ38941,20151008,0H  ,$549.13 
WETZ1189  ,20151008,0H  ,"$1,294.07 "
WILLM33545,20151120,0H  ,"$2,724.13 "
WALKD77358,20151007,0J  ,"$4,167.72 "
WAGNJ21039,20151112,0J  ,"$1,586.47 "
WINES45441,20150814,K4  ,"$1,722.45 "
WADEM96126,20150812,K4  ,$825.69 
VILLK46362,20150521,LV  ,"$1,106.89 "
ZELEB73684,20150523,L1  ,$990.04 
WESTM78106,20150522,NV  ,"$1,905.28 "
VINCL23869,20150819,H1  ,$781.72 
VANMJ61507,20150208,CV  ,$723.07 
WEISC18301,20150214,C8  ,$916.93 
WILLA35784,20150224,C8  ,"$2,471.47 "
ZAINJ18733,20150210,C8  ,$31.85 
YAMAW19375,20150210,C8  ,"$1,033.90 "
WARYK71186,20150220,C8  ,$674.21 
YAOXI19653,20150210,C8  ,$307.35 
ZHOUL18800,20150216,I1  ,$93.63 
WOLFD57584,20150210,I2  ,"$1,028.48 "
WEEKP39548,20150213,I2  ,$387.52 
VIGLJ18833,20150213,I2  ,"$2,188.28 "
VIGLJ18833,20150216,I2  ,"$1,250.97 "
WAGNR29297,20151021,N5  ,"$1,110.66 "
VOGRT32456,20151017,P2  ,$773.27 
VIP0000001,20151016,P2  ,$0.00 
ZAMAD36160,20150817,C5  ,$467.89 
YAVOB32926,20151023,0T  ,$634.45 
WOODD26296,20151031,0T  ,"$2,486.06 "
VANEL32648,20151019,7,$599.21 
VANEL32648,20151017,7,$5.42 
VENKR59779,20150528,E1  ,"$4,394.49 "
ZHANJ51526,20150525,E1  ,$353.10 
WHITJ28025,20150601,E1  ,"$4,528.19 "
ZHU9J30359,20150523,E3  ,$149.80 
WONGT51222,20150526,P5  ,"$1,349.38 "
WALLM51354,20150529,P5  ,"$3,647.97 "
WALLM51354,20150529,P5  ,$286.20 
ZAWAD33118,20150526,P5  ,$826.80 
YEAGB52046,20150530,P5  ,"$1,037.74 "
WUTZL13052,20150529,C8  ,$814.53 
WYATM76317,20150529,C8  ,"$1,366.55 "
VILLZ50710,20150529,P2  ,"$7,610.75 "
ZONTS49279,20150829,P3  ,"$2,099.86 "
VAGOJ68530,20151127,L4  ,$846.94 
WINTB78334,20151128,L4  ,$843.18 
WRIGS34708,20151202,R2  ,"$1,240.92 "
WELSL52653,20150821,I8  ,"$7,745.31 "
WHALF62139,20151112,I3  ,"$5,275.87 "
WHALF62139,20151110,I3  ,$102.61 
VALLA34649,20151106,N1  ,$586.31 
YADAV83250,20151127,L4  ,"$1,490.00 "
YADAV83250,20151128,L4  ,$250.00 
VERUJ56094,20151128,L5  ,"$1,901.64 "
VERUJ56094,20151130,L5  ,$317.95 
WOODC73187,20151127,L5  ,$213.17 
VOGTJ82761,20151125,RV  ,$167.40 
WHITL26310,20150817,KV  ,$158.95 
WHITL53043,20150817,KV  ,$391.14 
WARCM53479,20150822,KV  ,$318.00 
VASCR49214,20150817,M4  ,$864.95 
WHITD49676,20150821,M4  ,"$1,476.92 "
VEGAX57973,20150602,C3  ,"$4,804.84 "
WINTK49298,20150819,NV  ,$358.46 
WALTT35761,20150821,N3  ,$104.28 
WAMBK49652,20150820,N3  ,$956.58 
VARGJ50142,20151008,N3  ,"$1,024.90 "
WALKP45254,20150818,N3  ,$550.47 
WIESA73974,20150815,0C  ,$214.00 
WIESA73974,20150821,0C  ,"$1,390.95 "
WEISA75ZZ9,20150919,0C  ,"$2,400.84 "
WUFAN49810,20150817,0C  ,"$1,785.78 "
ZAIDN50455,20150817,0C  ,$990.36 
WHITM96600,20150818,0C  ,"$1,915.30 "
WALKP50646,20150818,0C  ,$273.92 
ZIMMM82069,20151009,RO  ,$665.68 
VORMS69678,20151010,W2  ,"$1,165.21 "
WALTA23219,20151010,K8  ,"$1,088.95 "
YARNT96793,20151016,K8  ,$940.22 
VIVEJ43881,20150521,E1  ,"$6,547.28 "
ZALIA44170,20150530,E1  ,"$1,562.15 "
VERGA72220,20150520,E1  ,"$2,745.83 "
WALLS35695,20150516,E1  ,$174.41 
VERHT43500,20151007,W2  ,$768.26 
ZOLAC61900,20151013,L4  ,$769.03 
ZAVAC687Z4,20150519,E1  ,$989.70 
WEILC90768,20151012,N1  ,$174.41 
WEAVS42066,20150820,C5  ,$326.97 
WEAVS42066,20150820,C5  ,$771.57 
ZUNIR22267,20150820,C5  ,$736.37 
VINSG86588,20150520,0T  ,$724.38 
WHYTL55924,20150520,0T  ,$988.21 
WAKEB10847,20150814,P4  ,"$1,175.88 "
WAKEB41596,20150814,P4  ,"$4,959.40 "
VALEJ95421,20150812,P4  ,"$2,673.88 "
YOUNK62900,20151114,0H  ,"$1,642.02 "
VIGLS53972,20150209,F3  ,$512.53 
VILLG86236,20150221,F3  ,"$5,046.82 "
VILLG86236,20150314,F3  ,$37.40 
VILLG86236,20150314,F3  ,$37.40 
WILLL20212,20150209,H3  ,"$7,443.73 "
WILLL20212,20150212,H3  ,$121.94 
WILLL20212,20150213,H3  ,$78.39 
VOCAV49155,20150815,CV  ,$138.15 
ZEEKD32921,20151021,E2  ,"$2,407.39 "
VINCR14993,20151020,E3  ,"$1,198.40 "
VARGC32632,20151017,E3  ,"$2,995.57 "
VULJF69191,20151027,0T  ,$879.41 
WINKC19734,20150210,9,$733.51 
ZYGMP83336,20150814,C1  ,$282.36 
ZIZZS49725,20150527,D2  ,"$2,048.98 "
VENTU90084,20150522,E5  ,$171.15 
WESLR49641,20150526,E5  ,"$1,822.05 "
VRANC47661,20150815,C1  ,"$2,100.36 "
ZIENM65557,20150817,C2  ,$831.60 
ZIENM65557,20150815,C2  ,$824.16 
ZIENM65557,20150815,C2  ,$53.18 
VEGAG82454,20151128,I7  ,$925.27 
WHITC51345,20150824,RV  ,$468.72 
VERMS51977,20150818,R4  ,"$1,131.84 "
WEBED85669,20150819,R4  ,"$3,968.62 "
ZITOA51185,20150819,T2  ,"$1,110.90 "
ZAROK80999,20150923,T2  ,"$2,936.91 "
WYBRN269Z8,20151125,KV  ,$416.58 
YOHAS33482,20151125,KV  ,$650.84 
WILSB58980,20151217,L1  ,"$4,142.37 "
ZEVIJ55364,20150821,F4  ,"$5,216.20 "
WATSD54697,20150822,G5  ,"$1,600.24 "
WATSJ54619,20150825,K8  ,$845.30 
ZWILA54938,20150821,K8  ,$882.40 
ZAGOJ69867,20150821,K8  ,"$2,151.93 "
WIGGC55098,20150924,K8  ,"$1,362.94 "
WILLA55115,20150918,K8  ,"$2,114.70 "
WENDE43231,20150824,K9  ,$709.14 
VENTM20799,20150823,K9  ,$306.34 
WILLD54849,20150821,K9  ,"$2,994.45 "
WOLTK21324,20150211,R3  ,"$5,142.91 "
WOLTK21324,20150225,R3  ,"$1,456.92 "
VOLLD50744,20150820,M3  ,"$2,222.45 "
VALEA48457,20151022,M4  ,"$2,933.54 "
WARRL48431,20150821,M4  ,"$2,774.91 "
WILLJ40952,20150821,M4  ,"$2,989.90 "
YATTB76922,20150828,M4  ,"$1,461.25 "
WASSJ91184,20150210,0C  ,$234.33 
WASYC58517,20150826,A1  ,$772.20 
WAGEL46363,20150826,A1  ,$916.92 
WALSN58991,20150827,A1  ,"$2,733.63 "
WARNJ58900,20150901,P1  ,"$2,432.65 "
VALLD72922,20150106,3,"$1,089.66 "
WISLR99206,20150929,0H  ,$607.86 
WESTT99379,20151002,0H  ,"$2,497.67 "
WESTT99379,20151002,0H  ,$699.95 
ZABLL91847,20151006,0H  ,$587.25 
WRIGM19393,20150928,0H  ,$122.30 
YAKOT10080,20150928,0H  ,"$1,071.13 "
WALZS63988,20151119,RO  ,$676.86 
ZINKJ94334,20151022,0A  ,$23.13 
WESSE14250,20150930,0A  ,$625.27 
34563456Z1,20150928,0A  ,"$1,371.55 "
WADEE63690,20151111,RV  ,$484.92 
VENTJ22762,20150211,G3  ,"$1,137.58 "
VERDN22813,20150213,G3  ,$967.84 
WIPPH22854,20150211,G3  ,"$1,726.70 "
WIPPH22854,20150209,G3  ,$152.43 
WEAVE22425,20150221,G4  ,"$1,848.70 "
ZAREJ22551,20150216,G4  ,"$1,796.44 "
WHITS67133,20150212,G4  ,"$2,170.80 "
WAITT19694,20150213,G4  ,$996.15 
WEISS22376,20150216,H2  ,"$3,150.07 "
WEISB72832,20150107,K9  ,"$2,897.99 "
WISSB73154,20150109,K9  ,$919.55 
VALLJ73240,20150117,K9  ,$837.35 
YISUC35374,20150101,K9  ,$189.74 
YOCOD72868,20150103,L2  ,"$2,798.35 "
VANJD96126,20150106,L2  ,$644.48 
VIOLD39570,20150828,0H  ,$270.79 
WALLO31411,20150902,T2  ,"$3,002.15 "
WALKJ18414,20151023,T2  ,$552.71 
WANGZ95242,20150901,W2  ,$130.01 
WALTE49181,20150901,W2  ,"$1,070.24 "
VAV21     ,20150831,0G  ,"$1,245.87 "
YANCV67370,20150902,N3  ,$435.97 
WRIGB67092,20151205,N5  ,"$6,433.86 "
VALEM88285,20150902,N5  ,$973.70 
VEGAF43471,20151127,JV  ,$446.50 
VEGAF43471,20151127,JV  ,$53.50 
WANGR84927,20151127,JV  ,$605.62 
WINND19477,20150605,T2  ,"$1,727.55 "
YATAD27369,20150604,W2  ,$684.82 
WOLFL83624,20151209,K9  ,"$3,311.39 "
VEITK83780,20151130,K9  ,"$1,849.70 "
ZHAOL85419,20151127,LV  ,$457.26 
WENTB35551,20151128,L3  ,"$1,484.95 "
WORKE83563,20151130,L3  ,"$4,884.79 "
VIGLC67072,20150830,N3  ,$278.09 
WEBEM67134,20150904,N3  ,"$5,255.52 "
YUXIA87086,20151202,I8  ,$976.61 
VITTR84544,20151127,I9  ,$607.21 
WILBL79382,20151205,I9  ,"$1,900.77 "
WAGNL43528,20151201,I9  ,$395.34 
WESTM85935,20151201,K8  ,"$1,330.90 "
ZAKRD24116,20150216,K3  ,$811.91 
WEINT91193,20151112,L2  ,"$3,283.83 "
WILSL64160,20151112,L3  ,$582.12 
WILSL64160,20151117,L3  ,$310.45 
WHITR41291,20151113,L3  ,"$2,304.67 "
WALTE64918,20151228,L3  ,"$1,852.15 "
YEJIN15266,20151116,L3  ,"$1,024.87 "
YEJIN15266,20151116,L3  ,"$1,003.32 "
VASCM17427,20150611,G2  ,"$3,964.25 "
WALKC41651,20151113,P6  ,$365.70 
WATSD86728,20151116,P6  ,$286.15 
ZADRP20138,20151117,W2  ,$138.45 
WESSO54754,20151113,0E  ,$237.60 
WILKC37692,20151116,0E  ,$547.56 
VARAS95708,20150107,C8  ,"$2,753.64 "
VARAS95708,20150110,C8  ,"$1,068.52 "
VAINA89696,20151204,E9  ,"$6,757.00 "
WILSA82027,20151202,C7  ,"$2,302.48 "
WARNP88396,20151201,C7  ,$962.20 
WINTN19815,20151114,E4  ,"$5,182.23 "
VIRGS17402,20151110,E5  ,"$1,764.97 "
WEBEL57114,20151110,E5  ,"$1,165.18 "
WILSR38567,20151207,G5  ,"$3,428.36 "
VASQS38758,20150818,G5  ,"$4,873.19 "
VASQS38758,20150820,G5  ,$670.67 
WANAK38457,20150806,HV  ,$471.75 
WIMES79969,20150818,HV  ,$799.99 
VECCL20821,20151009,P3  ,$124.02 
WIESJ20514,20151103,P4  ,"$1,867.04 "
WIES11F   ,20151009,P5  ,$787.05 
WRIGK20461,20151008,P6  ,"$1,499.90 "
WALLF34271,20151006,RO  ,$595.61 
WEISC57595,20151014,N5  ,"$1,368.53 "
WHITJ17373,20151024,W2  ,$575.95 
WILSR15963,20151013,W2  ,"$1,442.69 "
ZACHE79053,20151013,W2  ,$211.86 
WADED98939,20150227,P3  ,$906.25 
ZULIM17494,20150210,P5  ,$493.43 
WINGN17531,20150206,P5  ,$274.54 
WALLJ17458,20150214,P6  ,"$6,911.04 "
VANCB28957,20150304,P6  ,$763.15 
VERUL13282,20150210,9,"$2,856.59 "
VERMA86751,20150213,9,$213.84 
WOPPK32583,20151020,I9  ,"$3,215.21 "
WALSS11284,20151030,I9  ,"$1,462.09 "
VINCW32366,20151020,K8  ,$543.78 
WARDM93519,20151023,K8  ,$481.19 
WOODA61773,20151114,E8  ,$673.03 
YUSAM87563,20151111,H4  ,$271.56 
VITUC44818,20150821,E1  ,"$2,309.01 "
ZITOP45210,20150812,E2  ,"$1,833.93 "
WELLJ83692,20151109,C5  ,$903.98 
VILLG89407,20151111,C5  ,$248.81 
VILLG89407,20151109,C5  ,$212.64 
WEIBS60353,20151111,H3  ,"$2,397.43 "
VENTP69119,20151111,H3  ,$554.12 
WEIBS60353,20151111,H3  ,$240.61 
WHITC43754,20151016,8,"$1,245.19 "
VONBD82336,20151023,9,$269.95 
VALLS71381,20150209,C9  ,"$1,429.34 "
WHITJ48610,20150918,M6  ,$639.95 
XIQUE97732,20151007,E5  ,"$3,018.42 "
WASHJ97997,20151124,E6  ,"$2,332.39 "
VONDA57092,20151114,N5  ,$839.95 
WARHM61960,20151109,PV  ,$108.13 
ZAWAR97226,20151112,P4  ,$484.71 
WHIND50343,20151112,0C  ,$664.15 
VANSR20534,20151113,3,"$1,155.44 "
VANSR20534,20151109,3,$155.47 
WALSL64211,20151112,3,$737.59 
WILSS96554,20151117,3,$394.25 
WILSS96554,20151109,3,$215.89 
VACC525   ,20150821,0E  ,"$2,364.01 "
WOFFA59035,20150531,H6  ,$761.04 
YITZC59082,20150605,H6  ,"$5,908.95 "
YITZC59082,20150605,H6  ,"$2,544.95 "
WAGNJ44921,20150601,H8  ,$813.60 
VONTH59094,20150606,H8  ,$713.67 
WILLW58723,20150601,H9  ,"$1,380.48 "
WIILD58817,20150601,H9  ,"$1,795.35 "
YEARC59071,20150604,H9  ,"$1,622.07 "
YEARC59071,20150604,H9  ,$500.77 
WRIGA11041,20150103,K4  ,"$2,208.99 "
WHITM72658,20150108,P3  ,$463.49 
YOUNK56026,20150106,P3  ,"$3,603.68 "
YASHV48785,20150103,RV  ,$449.49 
YOUNM72809,20150106,RV  ,$810.00 
WALKM72337,20150101,R2  ,$338.57 
WALKD31604,20150210,NV  ,$184.66 
WINTW60490,20150217,W2  ,$288.85 
VILDD22678,20150216,W2  ,"$2,239.84 "
WINSM84838,20151228,C2  ,$793.90 
VELUS84985,20151201,C2  ,"$1,153.74 "
VAZQA62820,20151130,C2  ,"$6,228.44 "
ZEPEJ85134,20151128,E3  ,"$1,278.65 "
ZEPEJ85134,20151130,E3  ,$301.69 
WILTT84794,20151204,G5  ,"$2,820.84 "
WATSJ96114,20151209,G5  ,"$7,304.15 "
WASHC85295,20151214,G5  ,"$2,921.06 "
WOLFS85578,20151201,G5  ,$559.56 
VOGEL63377,20150613,C7  ,"$2,595.95 "
ZILOP84338,20151202,E3  ,"$2,022.14 "
WATEC85936,20151201,E3  ,$287.83 
WARDL73896,20151205,E3  ,"$1,592.11 "
WALCA71242,20150905,H9  ,"$1,000.57 "
YOONE69836,20150213,A1  ,$760.32 
VEGAQ24882,20150212,CV  ,$847.61 
VEGAQ24882,20150212,CV  ,$126.55 
VEGAQ24882,20150212,CV  ,$126.56 
WILKD13325,20150213,C1  ,$364.20 
WILKP80055,20150214,C1  ,$812.51 
WILKP80055,20150218,C1  ,"$1,387.81 "
WILLJ16117,20150212,C1  ,$127.62 
WILLD23738,20150604,C1  ,"$2,492.79 "
VALEM68376,20150905,H7  ,"$1,000.51 "
VITAM49230,20150910,H8  ,$450.69 
WALKL35455,20150120,D2  ,"$1,499.85 "
WHITD89019,20151202,H3  ,$528.04 
WHITP28203,20151002,E3  ,"$1,197.33 "
WACKJ66163,20150224,H3  ,$178.12 
WACKJ66163,20150225,H3  ,$800.67 
VIALA57299,20151202,H2  ,"$3,625.54 "
WILLM89846,20151202,H2  ,"$2,074.00 "
VEIJF90015,20151207,H2  ,"$1,633.07 "
WHITW87642,20151129,H3  ,$761.04 
WINSJ19686,20151202,K9  ,$389.50 
VANAD75701,20150106,M4  ,"$2,701.54 "
YEAZB38210,20151112,J2  ,$326.25 
WEAVJ93041,20151016,C3  ,"$1,565.42 "
WEAVJ93041,20151010,C3  ,$53.12 
WOODC70222,20151013,C3  ,$264.81 
ZITOF64091,20151021,C3  ,"$1,108.11 "
WRIGT25194,20151010,A1  ,$129.60 
WARRN79447,20151015,A1  ,"$3,145.55 "
VANAJ24240,20151012,CV  ,$637.04 
WINET25512,20151121,C2  ,"$1,036.91 "
VIRAP25544,20151013,C2  ,"$3,071.83 "
ZOLDE67141,20150313,C8  ,$369.33 
ZOLDE67141,20150220,C8  ,"$4,814.14 "
WOZNP49332,20150825,M3  ,"$2,004.95 "
VAVRM24521,20151017,E3  ,$576.73 
WYSOT38697,20151016,E3  ,"$2,084.36 "
WILLE24572,20151011,E9  ,$960.86 
ZECIF24662,20151016,G2  ,"$9,286.98 "
ZECIF24662,20151023,G2  ,$130.60 
VALEJ24671,20151012,G2  ,$326.57 
VELEG24752,20151014,G2  ,$95.81 
WATKM24996,20151120,G2  ,"$2,850.46 "
WATKM24996,20151121,G2  ,$510.46 
VIGIN75701,20151016,G2  ,$739.15 
WOODS90016,20151024,G3  ,"$1,057.12 "
WILKD24686,20151017,G2  ,"$2,175.27 "
YUNUA24174,20151013,H4  ,"$1,783.37 "
WRIGM80195,20151209,H4  ,"$2,689.21 "
WART359S  ,20150912,SV  ,$352.08 
WHITM37745,20150914,SV  ,$810.00 
ZANGP85695,20150915,T2  ,"$1,787.05 "
ZANGP85695,20150914,T2  ,"$1,256.29 "
ZAMOI76418,20150619,P6  ,"$1,075.79 "
VASIM27746,20150618,W2  ,$312.12 
WALSD38471,20150617,W2  ,$880.80 
WILLA51739,20150625,W2  ,"$3,545.98 "
ZEUND32128,20150106,KV  ,"$1,904.82 "
ZEUND32128,20150106,KV  ,$922.15 
WALKP50646,20150815,0C  ,$97.37 
WALKP50646,20150820,0C  ,$287.83 
VAILR77640,20150818,0C  ,$929.83 
YIOU65K   ,20150821,0E  ,"$2,613.01 "
YIOU65K   ,20150828,0E  ,$269.95 
ZEVIJ55364,20150826,F4  ,"$4,806.39 "
ZLOTC62795,20150211,J2  ,$809.10 
WILLM34043,20151201,H6  ,"$2,413.70 "
VONDP43311,20150218,R2  ,"$2,805.79 "
WOLMC23261,20150210,KV  ,$699.60 
WOLMC23261,20150210,KV  ,$161.07 
WILLA32430,20150721,L1  ,$839.47 
WHITT23078,20150218,L1  ,"$5,026.20 "
VADIK18663,20150213,L1  ,$454.74 
VIP0000001,20150928,G4  ,$0.00 
VASSG11914,20150930,G4  ,$500.72 
VIP0000001,20150927,G5  ,$0.00 
VALOA13649,20150831,C2  ,$938.01 
ZAIEN65480,20150902,C2  ,$255.19 
VALCM83793,20151130,M3  ,"$1,062.49 "
WOODR84498,20151203,M3  ,"$2,170.06 "
WHITD84769,20151127,M3  ,$345.31 
VALED86421,20151202,M4  ,$844.36 
WURS471   ,20151201,R3  ,$204.03 
ZINNA51681,20151203,R3  ,"$1,404.00 "
WHALG61949,20150618,T1  ,"$1,326.80 "
WHITT64844,20150703,T1  ,"$3,035.84 "
WEINT89581,20150605,T1  ,$333.03 
WOELT83991,20151205,0C  ,"$1,615.65 "
WIDER61759,20151130,N3  ,$763.93 
WEIND85122,20151127,N3  ,$331.70 
WOODB85516,20151221,N3  ,"$2,033.60 "
WALKC85829,20151201,M2  ,"$1,464.51 "
VIGNK50382,20151201,M2  ,$956.63 
WESTW50757,20151211,W2  ,$266.76 
VINSS40300,20151208,W2  ,$466.51 
VOROG83657,20151130,0E  ,"$3,545.41 "
VOROG83657,20151202,0E  ,"$1,280.03 "
WALLG11563,20151201,0E  ,$599.40 
YOUNW26362,20151130,0H  ,$782.95 
WOLT146   ,20151202,0H  ,"$2,724.08 "
ZALEC56916,20150110,I9  ,$706.01 
WHITW73730,20150108,JV  ,$972.63 
VALEF74009,20150107,K5  ,"$5,200.15 "
VINCN74389,20150106,K5  ,"$3,903.93 "
VUPPK69201,20150904,E1  ,"$2,440.62 "
WISEK25365,20150213,P1  ,"$1,620.69 "
VANEJ58292,20150212,P2  ,$698.49 
VERBS24282,20150227,R4  ,"$3,823.32 "
VERBS24282,20150227,R4  ,$599.40 
VERBS24282,20150327,R4  ,$246.21 
WOMEB25804,20150213,R4  ,"$1,438.56 "
WOMEB25804,20150213,R4  ,$766.80 
WHITA17149,20150213,R4  ,"$1,588.94 "
WATSP24748,20150214,R4  ,$830.47 
WATSM24905,20150214,R4  ,"$1,803.55 "
WRIGL66232,20151112,L3  ,$808.92 
VIEIJ45167,20151114,M4  ,"$1,480.99 "
VIEIJ45167,20151126,M4  ,$265.57 
ZUCHA11855,20150609,E2  ,$335.98 
WYNNE66760,20150609,E2  ,"$2,750.76 "
YAVUA66467,20150609,G2  ,"$1,752.89 "
VELEM82372,20150609,G2  ,$277.58 
VEGAR13143,20150610,G2  ,$614.44 
YOUNW66041,20151120,P4  ,"$1,389.88 "
WYANA64151,20151113,P5  ,"$1,313.29 "
ZIENB65523,20151117,P5  ,"$2,381.77 "
WEANR90818,20151204,P5  ,$159.00 
ZIEMA80390,20151116,P5  ,$823.09 
WLOCW53518,20151113,P5  ,$232.14 
WLOCW53518,20151116,P5  ,$401.74 
WARNC43757,20151118,P6  ,"$3,015.65 "
WALKC41651,20151113,P6  ,"$3,185.25 "
WEBED76568,20151114,W2  ,$303.69 
WITHT64026,20151120,W2  ,"$2,652.53 "
WALLJ81545,20151113,W2  ,"$3,732.16 "
YAREG88463,20151117,W2  ,$203.63 
VILLJ28465,20151113,W2  ,$309.23 
VEDDE66307,20151114,0A  ,"$4,343.11 "
WASSM24148,20150213,N3  ,$235.35 
WILDD69383,20150121,N4  ,"$1,423.05 "
WILFM66ZZ5,20150214,E5  ,"$1,517.26 "
YAMAK25471,20150213,E5  ,$775.75 
WOROJ25467,20150216,E6  ,"$1,523.53 "
WILSL79861,20150217,E6  ,$678.33 
WALTN24031,20150214,H1  ,"$2,661.83 "
YURCV25235,20150214,H3  ,"$2,904.73 "
WICKA27773,20150218,H3  ,$869.91 
WRIGR20778,20151202,7,"$1,068.07 "
WIHLJ76967,20150906,RV  ,$351.00 
VILLD76397,20150910,9,"$1,943.95 "
VANNP76704,20150910,9,$960.12 
ZAMPT91641,20150908,9,"$1,522.80 "
ZAMPT91641,20150922,9,"$1,296.00 "
ZAMPT91641,20150909,9,"$2,806.87 "
WEBSK77086,20150908,9,"$2,544.48 "
WESTR77759,20150923,9,"$2,904.07 "
WHEEJ88818,20151130,7,$723.08 
YOXAK89914,20151204,7,$903.66 
YEARR66495,20150320,L2  ,"$2,254.62 "
YUMBA36895,20150910,I7  ,"$1,630.84 "
WILKJ81033,20150911,I9  ,"$2,786.18 "
WANGU24232,20150907,I9  ,$276.99 
ZELLM81056,20150915,I9  ,$749.51 
WEISM78522,20150907,JV  ,$118.77 
WHITZ78585,20150907,JV  ,$470.80 
WARRB76457,20150104,SV  ,$745.20 
WESTE73053,20150627,0C  ,"$3,126.60 "
XUMIN25224,20150214,E7  ,"$1,754.80 "
VILLB308Z5,20150216,E7  ,"$1,080.59 "
ZHUJI74433,20150627,F2  ,"$3,685.42 "
ZHUJI74433,20150703,F2  ,$707.69 
WEINR73736,20150616,F3  ,"$7,467.36 "
VINCM18642,20151014,E3  ,$790.73 
VINCM18642,20151012,E3  ,$309.23 
VELED96233,20151011,E3  ,"$1,282.93 "
VELED96233,20151013,E3  ,$106.95 
WOLFT52602,20151016,C9  ,"$1,541.01 "
WOLDD24872,20151026,C9  ,"$3,017.15 "
WOLDD24872,20151026,C9  ,"$1,205.90 "
WEINS67357,20150718,E5  ,"$3,059.99 "
WILLA66668,20150619,E5  ,"$3,005.88 "
WAKSD90783,20150618,E5  ,"$2,999.26 "
VALVM39242,20151015,E1  ,"$1,375.51 "
WILLS24217,20151010,E1  ,$598.13 
WEHML51607,20150818,E3  ,$106.95 
ZALOR64789,20150820,E3  ,"$5,780.57 "
WONGJ51633,20150819,E4  ,$292.61 
ZHANP51708,20150821,E4  ,"$1,402.37 "
WITTR52171,20150822,E4  ,"$3,435.43 "
VREED84174,20151124,T1  ,"$1,406.71 "
WOODL50898,20150820,M2  ,"$2,829.07 "
WOODL50898,20150908,M2  ,$163.31 
WANCK51047,20151229,M3  ,$398.83 
WILLA51082,20150821,M3  ,$531.50 
VILOM24783,20151016,E3  ,$469.73 
VELES24885,20151013,E3  ,"$1,795.41 "
VANAC24987,20151015,E3  ,"$1,312.89 "
VIGLJ76174,20151014,E5  ,"$3,689.31 "
